problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→first.agent.velocity.x;100]→solution→grid.h→[f.gridFitW(), f.gridFitH(), f.gridString(byRows = true; elementF = f.mapper(map = m.sMap(keys = [h; s; avsin; ahsin; asin; acos]; values = [f; g; b; a; c; d])); yMirror = true)]";"all→percentile[quality→first.agent.velocity.x;75]→solution→grid.h→[f.gridFitW(), f.gridFitH(), f.gridString(byRows = true; elementF = f.mapper(map = m.sMap(keys = [h; s; avsin; ahsin; asin; acos]; values = [f; g; b; a; c; d])); yMirror = true)]";"all→percentile[quality→first.agent.avg.power;50]→solution→grid.h→[f.gridFitW(), f.gridFitH(), f.gridString(byRows = true; elementF = f.mapper(map = m.sMap(keys = [h; s; avsin; ahsin; asin; acos]; values = [f; g; b; a; c; d])); yMirror = true)]";"all→percentile[quality→first.agent.avg.power;25]→solution→grid.h→[f.gridFitW(), f.gridFitH(), f.gridString(byRows = true; elementF = f.mapper(map = m.sMap(keys = [h; s; avsin; ahsin; asin; acos]; values = [f; g; b; a; c; d])); yMirror = true)]"
locomotion[flat];grid;3;200;20000;20000;1.91284e+03;100;14;2;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{a;c;g;;a;d;b;d;a;a;a;;b;g;d;c;;;a;d;c;b;f;}";"{6;4}{a;d;g;;d;c;f;g;c;;;a;b;g;;d;f;f;c;f;d;c;g;a}";"{6;4}{c;g;c;f;g;b;g;g;f;b;f;d;b;a;f;;f;f;f;d;;d;c;g}";"{5;4}{;;a;c;f;;f;;f;f;g;b;f;g;a;;g;;b;f}"
locomotion[flat];grid;1;200;20000;20000;1.91574e+03;100;9;11;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{f;;;;f;;g;c;;b;d;;f;g;g;b;c;a;;a;a;a;g;g}";"{4;4}{b;b;a;a;;f;g;a;;;;f;;;;g}";"{6;4}{c;f;g;g;b;c;a;g;;d;d;f;a;c;g;g;f;d;f;g;f;f;f;}";"{3;4}{;f;;a;g;f;d;d;f;c;f;d}"
locomotion[flat];grid;2;200;20000;20000;1.91824e+03;100;18;19;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{f;;b;b;g;a;g;b;;d;g;g;b;b;c;b;c;c;c;a;a;d;a;a}";"{6;4}{f;a;b;a;;g;g;g;b;a;g;a;f;a;g;a;c;;f;g;d;g;f;f}";"{6;4}{;;f;b;b;b;;a;d;g;;f;a;g;g;g;a;g;g;;;d;f;d}";"{4;4}{g;d;g;d;f;f;c;d;b;f;d;;f;g;g;}"
locomotion[flat];grid;4;200;20000;20000;1.91968e+03;100;8;3;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{b;g;;a;;f;f;a;a;a;c;d;d;d;d;d;d;;g;d;d;a;a;b}";"{6;4}{;a;f;d;g;a;g;d;d;a;f;c;g;;c;a;g;f;f;c;b;c;b;a}";"{4;4}{;g;a;a;d;a;g;a;a;f;f;f;;a;f;g}";"{4;3}{;;b;;;f;b;;c;c;g;f}"
locomotion[flat];grid;5;200;20000;20000;1.83073e+03;100;11;25;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{f;c;;b;g;d;;c;c;b;b;b;d;c;;c;b;;c;a;c;g;a;d}";"{6;4}{c;c;c;g;b;g;c;;c;f;;d;a;b;f;c;;;c;d;a;;;}";"{4;4}{;;d;c;;a;g;d;a;f;b;f;d;c;c;}";"{3;4}{c;b;a;a;f;;c;;;g;f;f}"
locomotion[flat];grid;6;200;20000;20000;1.83516e+03;100;8;11;1.00000e+00;1.00000e+00;1.00000e+00;"{5;4}{g;b;;;d;;f;;g;a;;b;b;b;a;;c;d;a;f}";"{4;4}{;b;a;d;g;d;c;c;;d;c;a;;;d;f}";"{4;4}{g;a;a;f;;g;c;;;c;c;;g;f;a;g}";"{3;4}{f;d;b;f;b;g;;f;g;;;a}"
locomotion[flat];grid;7;200;20000;20000;1.83620e+03;100;11;17;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{f;f;;d;c;a;d;a;a;;c;c;a;c;a;f;d;d;g;d;b;a;;c}";"{6;4}{f;;a;a;;g;b;a;c;g;g;a;c;d;d;b;c;;c;;;f;b;d}";"{6;4}{;b;f;b;f;g;f;a;;c;b;;;f;d;f;a;c;b;g;f;c;f;d}";"{6;4}{a;;f;a;;;g;g;f;c;d;;;;f;g;;g;;;;c;f;g}"
locomotion[flat];grid;8;200;20000;20000;1.83375e+03;100;10;4;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{;f;;a;a;c;f;d;a;f;;a;f;a;d;d;a;a;b;c;c;c;g;a}";"{6;4}{g;a;d;a;;b;d;c;;b;c;b;f;;;;a;g;;;;;;c}";"{3;4}{c;c;c;d;c;f;g;g;;d;;}";"{3;4}{g;f;;d;g;b;;g;f;;d;d}"
locomotion[flat];grid;9;200;20000;20000;1.81563e+03;100;8;19;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{a;d;;;a;c;;f;;g;a;c;c;d;b;c;a;;;b;b;g;c;a}";"{6;4}{b;f;b;;a;b;;d;d;g;c;;b;c;;b;c;c;;;a;f;c;d}";"{6;4}{g;;f;b;a;c;f;;a;f;f;a;b;c;g;d;c;f;f;g;b;c;b;}";"{6;4}{f;g;f;;g;a;;g;d;g;c;f;;;g;b;c;d;;;;;f;b}"
locomotion[flat];grid;10;200;20000;20000;1.81992e+03;100;20;14;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{c;c;;;c;b;c;c;c;d;b;b;;;b;a;;g;;;;d;c;b}";"{6;4}{b;f;d;;a;;c;c;g;g;c;;d;d;g;c;f;b;g;f;c;a;d;f}";"{4;4}{d;c;f;d;g;a;b;;f;b;;;g;d;c;}";"{4;4}{a;f;g;d;f;b;a;b;;g;d;f;;c;g;g}"
locomotion[flat];grid;11;200;20000;20000;1.82192e+03;100;13;18;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{;d;;;a;c;f;f;a;a;d;c;f;f;f;b;g;a;c;b;d;;b;d}";"{5;4}{f;a;a;c;g;a;f;g;f;;f;g;c;;;b;c;g;d;}";"{6;4}{f;c;d;;c;;f;f;a;a;f;g;a;f;d;g;a;c;b;f;f;c;;f}";"{6;4}{b;;f;g;a;;g;d;f;f;f;f;g;g;f;a;f;f;g;c;f;b;g;}"
locomotion[flat];grid;12;200;20000;20000;1.81896e+03;100;10;15;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{c;a;;;;c;d;a;g;;a;c;b;g;d;b;d;d;;c;c;f;c;d}";"{6;4}{;f;d;;b;c;a;g;b;c;b;;b;b;d;c;d;;d;g;;a;;}";"{4;4}{b;d;a;a;;c;c;g;;f;f;c;;;f;f}";"{4;4}{;f;g;d;b;f;f;b;f;d;c;d;;a;f;f}"
locomotion[flat];grid;13;200;20000;20000;1.86570e+03;100;11;26;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{b;d;;;;;a;d;g;a;;;;b;c;c;g;a;d;b;;d;b;b}";"{6;4}{d;a;g;d;;c;;d;;g;b;a;f;f;f;;g;g;b;;c;c;g;b}";"{3;4}{g;a;;g;a;;d;a;g;b;a;}";"{6;4}{;;c;g;c;g;g;g;f;a;d;f;;;g;b;g;g;;c;c;f;;}"
locomotion[flat];grid;14;200;20000;20000;1.87280e+03;100;11;14;1.00000e+00;1.00000e+00;1.00000e+00;"{6;4}{f;g;;c;c;;b;a;d;a;a;f;b;c;d;f;;a;b;b;;d;f;b}";"{6;4}{;b;d;d;a;a;;b;f;a;f;f;b;b;;g;a;;b;d;a;f;a;a}";"{4;4}{d;g;a;;a;d;c;;f;f;a;b;;;d;}";"{4;4}{g;f;d;f;;c;c;;;d;b;f;;g;g;}"
