problem.name;solver.name;randomGenerator.seed;state→n.iterations;individual→quality→first.agent.velocity.x;individual→quality→first.agent.avg.power;"individual→solution→grid.h→[f.gridFitW(), f.gridFitH(), f.gridString(byRows = true; elementF = f.mapper(map = m.sMap(keys = [h; s; avsin; ahsin; asin; acos]; values = [f; g; b; a; c; d])); yMirror = true)]"
locomotion[flat];grid;3;200;-1.70459e-02;2.94581e-01;"{6;2}{g;c;d;f;g;f;;f;;;;}"
locomotion[flat];grid;3;200;1.33206e+00;3.09870e+00;"{6;4}{a;c;g;;a;d;b;d;a;a;a;;b;g;d;c;;;a;d;c;b;f;}"
locomotion[flat];grid;3;200;1.09223e+00;2.24607e+00;"{6;4}{d;;c;;;c;b;a;a;a;;g;d;c;c;d;g;f;g;;f;c;f;d}"
locomotion[flat];grid;3;200;6.31706e-01;1.95395e+00;"{6;4}{d;;f;g;;a;g;g;;d;d;c;b;c;g;c;c;d;g;g;;a;;g}"
locomotion[flat];grid;3;200;5.71374e-01;1.33031e+00;"{4;4}{g;f;c;b;;c;c;f;;;b;b;;;g;c}"
locomotion[flat];grid;3;200;4.77443e-01;1.12224e+00;"{4;4}{d;f;d;g;g;d;c;;b;c;;;g;a;;}"
locomotion[flat];grid;3;200;2.83775e-01;1.02582e+00;"{3;4}{d;b;b;g;g;f;f;a;;;c;d}"
locomotion[flat];grid;3;200;8.59019e-02;4.24767e-01;"{4;3}{d;f;f;a;d;f;d;f;;f;;}"
locomotion[flat];grid;3;200;1.33688e-01;6.94296e-01;"{4;4}{f;f;d;a;d;b;f;a;g;f;f;;g;b;g;f}"
locomotion[flat];grid;3;200;9.95197e-02;6.10501e-01;"{6;4}{d;;d;;f;g;g;d;f;g;a;;g;f;f;d;g;g;g;c;f;f;;}"
locomotion[flat];grid;3;200;2.27030e-01;8.16695e-01;"{4;4}{;;c;c;;;g;f;a;f;d;c;f;f;f;d}"
locomotion[flat];grid;3;200;2.73722e-01;8.40358e-01;"{3;4}{g;g;a;b;c;f;;b;a;;;f}"
locomotion[flat];grid;3;200;6.26364e-03;3.50600e-01;"{3;4}{g;a;;g;c;;c;f;f;f;f;g}"
locomotion[flat];grid;3;200;-6.03053e-03;3.43080e-01;"{6;4}{g;f;f;d;f;c;f;a;;f;f;f;c;f;c;c;b;c;f;g;f;f;;g}"
locomotion[flat];grid;3;200;4.55065e-03;3.82923e-01;"{6;4}{f;f;b;b;f;f;d;a;f;f;c;b;;;;;f;g;;;;;;f}"
locomotion[flat];grid;3;200;9.92735e-01;3.06375e+00;"{6;4}{f;d;a;d;a;a;b;a;b;d;c;;;b;g;g;a;c;;;b;b;b;f}"
locomotion[flat];grid;3;200;9.73394e-01;2.56422e+00;"{6;4}{c;b;;d;;g;g;b;b;b;b;c;g;f;;d;d;;d;f;d;f;f;c}"
locomotion[flat];grid;3;200;5.60346e-01;1.87726e+00;"{6;4}{f;a;a;c;;;f;f;;c;c;;g;c;b;a;g;a;f;a;f;;c;d}"
locomotion[flat];grid;3;200;5.97810e-01;2.18228e+00;"{6;4}{f;g;;a;c;;c;f;a;g;c;g;f;a;c;a;d;;a;a;f;d;f;d}"
locomotion[flat];grid;3;200;7.37443e-01;2.25410e+00;"{6;4}{f;b;;d;c;c;d;d;d;;c;a;c;a;f;g;f;a;f;d;f;g;c;g}"
locomotion[flat];grid;3;200;8.48553e-01;2.47935e+00;"{6;4}{f;b;a;;c;;d;b;d;a;b;c;a;f;f;c;;a;g;;b;c;d;}"
locomotion[flat];grid;3;200;4.33825e-01;1.47735e+00;"{6;4}{d;d;c;;g;c;g;;d;d;f;f;c;g;d;f;f;f;f;b;c;b;a;f}"
locomotion[flat];grid;3;200;3.64385e-01;1.26761e+00;"{6;4}{;c;;f;c;b;a;f;d;a;c;f;d;f;d;f;a;f;g;d;f;c;f;b}"
locomotion[flat];grid;3;200;2.31299e-01;9.83769e-01;"{6;4}{;;;g;f;;f;f;a;g;d;d;g;f;a;g;d;c;f;f;g;f;b;f}"
